,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
UPF1,2.79E-70,0.566852845,0.263,0.115,9.35E-66,6,UPF1
BNIP3L1,2.86E-70,0.356433932,0.399,0.201,9.59E-66,6,BNIP3L
CBR11,3.47E-70,0.52019774,0.285,0.129,1.16E-65,6,CBR1
SYNGR21,3.53E-70,0.47679553,0.361,0.177,1.18E-65,6,SYNGR2
AHCYL12,6.45E-70,0.410247998,0.365,0.18,2.16E-65,6,AHCYL1
HM132,7.50E-70,0.496730534,0.38,0.191,2.52E-65,6,HM13
HACD3,1.29E-69,0.444225646,0.269,0.118,4.31E-65,6,HACD3
ANXA11,4.56E-69,0.364869863,0.609,0.349,1.53E-64,6,ANXA11
MYDGF1,1.44E-68,0.386257455,0.47,0.25,4.84E-64,6,MYDGF
GK,1.99E-68,0.260848588,0.261,0.114,6.68E-64,6,GK
RNF1451,2.19E-68,0.523172236,0.362,0.182,7.34E-64,6,RNF145
NDUFB71,4.90E-68,0.349937174,0.688,0.406,1.64E-63,6,NDUFB7
COPA1,8.01E-68,0.519510526,0.421,0.223,2.69E-63,6,COPA
SWAP701,4.39E-67,0.416866158,0.275,0.125,1.47E-62,6,SWAP70
TMEM165,4.68E-67,0.411509533,0.532,0.298,1.57E-62,6,TMEM165
TWF1,1.71E-66,0.527246519,0.255,0.113,5.75E-62,6,TWF1
TET21,2.34E-66,0.437654077,0.329,0.16,7.83E-62,6,TET2
TMEM9B,3.27E-66,0.398706349,0.406,0.211,1.10E-61,6,TMEM9B
ADD32,5.25E-66,0.379631473,0.4,0.205,1.76E-61,6,ADD3
PHPT13,5.86E-66,0.267581096,0.547,0.303,1.97E-61,6,PHPT1
NAA38,1.01E-65,0.339805261,0.437,0.229,3.38E-61,6,NAA38
ZFP36L11,1.27E-65,0.314039438,0.81,0.541,4.27E-61,6,ZFP36L1
MAN1A21,3.54E-65,0.360692006,0.404,0.208,1.19E-60,6,MAN1A2
CAPNS11,3.90E-65,0.442400429,0.426,0.227,1.31E-60,6,CAPNS1
ARCN1,7.00E-65,0.438846456,0.394,0.205,2.35E-60,6,ARCN1
DDIT43,2.71E-64,0.421568073,0.625,0.378,9.09E-60,6,DDIT4
APIP,4.76E-64,0.505648501,0.255,0.115,1.60E-59,6,APIP
MLF22,9.76E-64,0.43161765,0.38,0.196,3.27E-59,6,MLF2
DYNC1I2,1.01E-63,0.528457427,0.301,0.145,3.40E-59,6,DYNC1I2
REXO22,1.08E-63,0.389954222,0.346,0.172,3.61E-59,6,REXO2
KLHDC2,2.16E-63,0.36949707,0.26,0.117,7.25E-59,6,KLHDC2
C1orf1221,2.96E-63,0.405033056,0.32,0.156,9.94E-59,6,C1orf122
KHDC4,3.17E-63,0.457325987,0.287,0.135,1.06E-58,6,KHDC4
PABPC42,3.96E-63,0.346348437,0.411,0.216,1.33E-58,6,PABPC4
MKNK2,6.43E-63,0.450355007,0.344,0.172,2.16E-58,6,MKNK2
GNL3,7.27E-63,0.523885631,0.295,0.142,2.44E-58,6,GNL3
SLC25A361,1.23E-62,0.268096709,0.35,0.173,4.14E-58,6,SLC25A36
OS91,1.68E-62,0.419122983,0.374,0.192,5.63E-58,6,OS9
SELENOW1,3.13E-62,0.257886621,0.655,0.384,1.05E-57,6,SELENOW
TRIP111,4.65E-62,0.307493706,0.461,0.25,1.56E-57,6,TRIP11
GBP3,2.74E-61,0.357974706,0.254,0.113,9.20E-57,6,GBP3
JTB,6.18E-61,0.39580204,0.685,0.428,2.07E-56,6,JTB
PDXK1,8.06E-61,0.259801214,0.355,0.179,2.70E-56,6,PDXK
SLC25A37,1.38E-60,0.33915676,0.289,0.137,4.62E-56,6,SLC25A37
PPP4R2,2.11E-60,0.377904799,0.383,0.201,7.06E-56,6,PPP4R2
PIGP,7.54E-60,0.342326076,0.307,0.15,2.53E-55,6,PIGP
HEXA1,2.06E-59,0.434993233,0.315,0.156,6.91E-55,6,HEXA
BEX42,3.26E-59,0.293381925,0.299,0.145,1.09E-54,6,BEX4
PDCD6IP,7.31E-59,0.298176875,0.453,0.247,2.45E-54,6,PDCD6IP
SQLE,9.35E-59,0.388081174,0.287,0.138,3.13E-54,6,SQLE
PRDX12,1.96E-58,0.322025288,0.832,0.598,6.56E-54,6,PRDX1
CNPY21,2.16E-58,0.294577995,0.331,0.165,7.25E-54,6,CNPY2
SIPA1L1,3.00E-58,0.372970068,0.267,0.125,1.00E-53,6,SIPA1L1
SCOC1,7.37E-58,0.345033946,0.289,0.14,2.47E-53,6,SCOC
MUC20-OT11,1.11E-57,0.291158366,0.44,0.239,3.72E-53,6,MUC20-OT1
MRPL27,1.24E-57,0.385329723,0.29,0.142,4.17E-53,6,MRPL27
DPM3,4.55E-57,0.321883012,0.279,0.134,1.53E-52,6,DPM3
SEC16A,6.99E-57,0.63198062,0.257,0.123,2.34E-52,6,SEC16A
ASCC2,9.07E-57,0.390784368,0.264,0.124,3.04E-52,6,ASCC2
AFF4,3.02E-56,0.384924332,0.369,0.196,1.01E-51,6,AFF4
NDUFS42,3.72E-56,0.294577445,0.361,0.19,1.25E-51,6,NDUFS4
EIF2AK1,4.08E-56,0.38806372,0.327,0.167,1.37E-51,6,EIF2AK1
DDI2,5.82E-56,0.49856746,0.26,0.125,1.95E-51,6,DDI2
SPATS2L2,1.03E-55,0.269727521,0.323,0.162,3.47E-51,6,SPATS2L
SUCO,2.28E-55,0.352188997,0.258,0.121,7.66E-51,6,SUCO
NDUFS1,3.43E-55,0.394525206,0.291,0.144,1.15E-50,6,NDUFS1
MAGT1,1.25E-54,0.447845493,0.285,0.141,4.21E-50,6,MAGT1
SIAH2,1.49E-54,0.34014761,0.252,0.118,5.01E-50,6,SIAH2
SEC11C1,3.45E-54,0.399174494,0.513,0.307,1.16E-49,6,SEC11C
PDIA61,4.28E-54,0.25745908,0.689,0.415,1.44E-49,6,PDIA6
FOXO3,6.53E-54,0.297055103,0.251,0.118,2.19E-49,6,FOXO3
TIMMDC1,1.17E-53,0.383704061,0.289,0.144,3.91E-49,6,TIMMDC1
UQCRQ2,1.57E-53,0.373255811,0.624,0.388,5.26E-49,6,UQCRQ
EMC3,2.68E-53,0.366002123,0.364,0.195,8.98E-49,6,EMC3
USO1,2.68E-53,0.379741295,0.341,0.18,9.00E-49,6,USO1
SEC61A11,3.30E-53,0.424477464,0.31,0.159,1.11E-48,6,SEC61A1
TFG,4.52E-53,0.290133844,0.316,0.162,1.52E-48,6,TFG
COPB1,6.26E-53,0.366841846,0.436,0.248,2.10E-48,6,COPB1
SH3GLB1,1.42E-52,0.296128295,0.451,0.256,4.77E-48,6,SH3GLB1
NF11,1.57E-52,0.349302432,0.255,0.122,5.26E-48,6,NF1
TMEM179B,4.61E-52,0.300738286,0.351,0.187,1.55E-47,6,TMEM179B
RAC11,6.55E-52,0.263369662,0.755,0.471,2.20E-47,6,RAC1
TMED7,7.24E-52,0.49880247,0.278,0.14,2.43E-47,6,TMED7
SCAMP21,1.37E-51,0.338760761,0.381,0.208,4.59E-47,6,SCAMP2
DNAJC151,2.49E-51,0.272068474,0.425,0.24,8.35E-47,6,DNAJC15
CLPTM1L,2.86E-51,0.336086671,0.341,0.181,9.59E-47,6,CLPTM1L
C6orf89,4.97E-51,0.307605813,0.27,0.133,1.67E-46,6,C6orf89
NDUFA81,7.09E-51,0.293484246,0.317,0.166,2.38E-46,6,NDUFA8
PIGT,1.06E-50,0.324941746,0.304,0.156,3.54E-46,6,PIGT
CHD61,1.17E-50,0.252305996,0.304,0.155,3.92E-46,6,CHD6
GLUD11,1.22E-50,0.368107069,0.312,0.163,4.09E-46,6,GLUD1
CUX11,1.40E-50,0.323794337,0.304,0.157,4.69E-46,6,CUX1
LGALS82,2.94E-50,0.310847849,0.321,0.168,9.86E-46,6,LGALS8
EEA1,3.37E-50,0.340590295,0.3,0.155,1.13E-45,6,EEA1
SDCCAG82,5.53E-50,0.312314914,0.294,0.152,1.86E-45,6,SDCCAG8
ALG5,5.89E-50,0.329672117,0.282,0.143,1.97E-45,6,ALG5
EBP,5.58E-49,0.333202741,0.261,0.129,1.87E-44,6,EBP
SERINC51,2.16E-48,0.369472764,0.263,0.131,7.25E-44,6,SERINC5
NDUFV12,2.71E-48,0.282295334,0.335,0.179,9.11E-44,6,NDUFV1
GPAA1,7.02E-48,0.280583091,0.261,0.13,2.35E-43,6,GPAA1
MKRN11,8.73E-48,0.2659201,0.319,0.169,2.93E-43,6,MKRN1
MTRNR2L10,2.83E-47,0.282491099,0.805,0.562,9.48E-43,6,MTRNR2L10
PAIP1,3.32E-47,0.343813995,0.283,0.146,1.11E-42,6,PAIP1
C5orf24,4.86E-47,0.290721909,0.288,0.149,1.63E-42,6,C5orf24
SUCLG2,8.27E-47,0.278269025,0.257,0.128,2.78E-42,6,SUCLG2
ZNF326,8.68E-47,0.340597072,0.265,0.135,2.91E-42,6,ZNF326
TTC37,1.56E-46,0.368274245,0.307,0.164,5.23E-42,6,TTC37
PPA21,1.71E-46,0.339558032,0.26,0.132,5.73E-42,6,PPA2
CLTB1,2.70E-46,0.271959337,0.416,0.239,9.07E-42,6,CLTB
MFSD11,4.55E-46,0.291545261,0.257,0.13,1.53E-41,6,MFSD1
DLG1,1.76E-45,0.321656688,0.28,0.145,5.91E-41,6,DLG1
SETD51,2.60E-45,0.322004796,0.343,0.189,8.73E-41,6,SETD5
GNAS,5.68E-45,0.283793926,0.887,0.669,1.91E-40,6,GNAS
ERGIC3,8.63E-45,0.261194978,0.305,0.163,2.89E-40,6,ERGIC3
MCFD2,1.16E-44,0.362365019,0.253,0.13,3.90E-40,6,MCFD2
FAM120A1,1.40E-43,0.301844314,0.441,0.263,4.69E-39,6,FAM120A
SERP13,2.24E-43,0.272525154,0.872,0.614,7.51E-39,6,SERP1
ATP2A21,3.24E-43,0.254865354,0.383,0.22,1.09E-38,6,ATP2A2
IPO71,3.90E-43,0.30655429,0.286,0.153,1.31E-38,6,IPO7
TOR1AIP2,6.38E-43,0.27420528,0.281,0.149,2.14E-38,6,TOR1AIP2
GOLPH3,1.48E-42,0.306001703,0.252,0.13,4.96E-38,6,GOLPH3
AUP1,7.90E-42,0.294986958,0.275,0.146,2.65E-37,6,AUP1
MRPL31,1.28E-41,0.265136183,0.332,0.186,4.29E-37,6,MRPL3
CHMP4B,9.87E-41,0.277704563,0.259,0.136,3.31E-36,6,CHMP4B
COA3,1.06E-40,0.274811777,0.287,0.156,3.57E-36,6,COA3
CRELD21,9.45E-35,0.311497063,0.271,0.152,3.17E-30,6,CRELD2
SERF22,1.17E-33,0.264650321,0.976,0.854,3.92E-29,6,SERF2
ANXA1,5.46E-07,0.330600146,0.775,0.614,0.018322341,6,ANXA1
C20orf85,0,5.39853896,0.956,0.06,0,7,C20orf85
C9orf24,0,5.167862443,0.898,0.055,0,7,C9orf24
RSPH1,0,5.124525119,0.892,0.054,0,7,RSPH1
C11orf88,0,5.313329343,0.882,0.048,0,7,C11orf88
MORN2,0,5.100959089,0.869,0.073,0,7,MORN2
LRRIQ1,0,5.31525811,0.819,0.028,0,7,LRRIQ1
SNTN,0,5.390295032,0.825,0.035,0,7,SNTN
CCDC170,0,5.223598024,0.834,0.044,0,7,CCDC170
PIFO,0,5.232489615,0.818,0.036,0,7,PIFO
CAPS,0,4.419202652,0.938,0.162,0,7,CAPS
AGR3,0,5.152124232,0.825,0.054,0,7,AGR3
C2orf40,0,5.28825623,0.795,0.029,0,7,C2orf40
DNAH5,0,5.055454711,0.805,0.042,0,7,DNAH5
TMEM190,0,5.001459681,0.784,0.025,0,7,TMEM190
TPPP3,0,5.129482041,0.797,0.04,0,7,TPPP3
ERICH3,0,5.186113128,0.778,0.026,0,7,ERICH3
CD241,0,3.976194955,0.879,0.129,0,7,CD24
CAPSL,0,5.336345886,0.779,0.032,0,7,CAPSL
C5orf49,0,5.52647923,0.763,0.03,0,7,C5orf49
CCDC146,0,4.727240845,0.788,0.061,0,7,CCDC146
DNAH12,0,5.203407463,0.732,0.024,0,7,DNAH12
DYNLRB2,0,5.356481072,0.735,0.031,0,7,DYNLRB2
CETN2,0,4.530975582,0.789,0.087,0,7,CETN2
C9orf116,0,5.152573723,0.733,0.035,0,7,C9orf116
AL357093.2,0,5.534333037,0.73,0.033,0,7,AL357093.2
IFT57,0,4.147851839,0.79,0.114,0,7,IFT57
FAM183A,0,5.082284232,0.709,0.034,0,7,FAM183A
TSPAN19,0,5.803956655,0.696,0.022,0,7,TSPAN19
C1orf194,0,4.821465365,0.7,0.038,0,7,C1orf194
SAXO2,0,5.22965426,0.687,0.028,0,7,SAXO2
TUBB4B,0,4.041118188,0.948,0.291,0,7,TUBB4B
EFHC1,0,4.434168535,0.722,0.066,0,7,EFHC1
GSTA12,0,3.338973525,0.808,0.154,0,7,GSTA1
MS4A81,0,4.380004102,0.698,0.054,0,7,MS4A8
CFAP53,0,5.253621063,0.667,0.027,0,7,CFAP53
AC007906.2,0,5.214354702,0.671,0.035,0,7,AC007906.2
DNAAF1,0,4.700171272,0.663,0.027,0,7,DNAAF1
CKB1,0,3.801884257,0.746,0.112,0,7,CKB
ALDH1A13,0,2.654745645,0.888,0.264,0,7,ALDH1A1
IFI271,0,3.740081127,0.709,0.091,0,7,IFI27
RP1,0,5.154245561,0.639,0.023,0,7,RP1
IGFBP7,0,4.446287286,0.676,0.061,0,7,IGFBP7
CFAP43,0,5.170490231,0.638,0.023,0,7,CFAP43
FAM229B,0,4.921940047,0.658,0.044,0,7,FAM229B
ROPN1L,0,5.434142515,0.636,0.026,0,7,ROPN1L
TSPAN14,0,2.877424884,0.763,0.166,0,7,TSPAN1
ODF3B,0,4.27060136,0.667,0.078,0,7,ODF3B
CEP126,0,4.474760293,0.638,0.05,0,7,CEP126
EFCAB1,0,5.266872795,0.605,0.025,0,7,EFCAB1
MORN5,0,5.13447753,0.603,0.025,0,7,MORN5
FAM92B,0,5.104793041,0.603,0.025,0,7,FAM92B
TMC51,0,3.692519571,0.663,0.086,0,7,TMC5
C9orf135,0,5.487711884,0.602,0.025,0,7,C9orf135
DTHD1,0,4.53221799,0.612,0.036,0,7,DTHD1
SPA17,0,5.026724884,0.611,0.039,0,7,SPA17
SPAG17,0,5.153652528,0.592,0.021,0,7,SPAG17
ABCA132,0,3.788589312,0.674,0.104,0,7,ABCA13
OMG,0,5.108662339,0.603,0.033,0,7,OMG
FXYD33,0,2.025575741,0.822,0.255,0,7,FXYD3
MNS1,0,5.409333003,0.588,0.023,0,7,MNS1
RRAD,0,5.297714645,0.59,0.026,0,7,RRAD
C11orf97,0,5.5407197,0.585,0.024,0,7,C11orf97
CCDC113,0,5.244253211,0.587,0.026,0,7,CCDC113
IGFBP21,0,3.1288018,0.674,0.115,0,7,IGFBP2
MLF1,0,4.97937256,0.597,0.038,0,7,MLF1
SMIM221,0,3.911628696,0.636,0.078,0,7,SMIM22
KIF21A1,0,2.924281019,0.743,0.187,0,7,KIF21A
ENKUR,0,5.298491459,0.58,0.024,0,7,ENKUR
CYP4B13,0,2.656294919,0.737,0.182,0,7,CYP4B1
BASP11,0,2.816531288,0.7,0.15,0,7,BASP1
RSPH4A,0,5.238495441,0.574,0.024,0,7,RSPH4A
SPEF2,0,3.963356932,0.608,0.06,0,7,SPEF2
DYNC2H1,0,4.157137418,0.602,0.055,0,7,DYNC2H1
TFF32,0,0.788576713,0.758,0.214,0,7,TFF3
KIF9,0,4.765620705,0.588,0.044,0,7,KIF9
TUBA1A1,0,2.960586776,0.874,0.332,0,7,TUBA1A
CHST93,0,2.418648596,0.746,0.205,0,7,CHST9
C12orf751,0,2.832170914,0.746,0.206,0,7,C12orf75
SPAG16,0,3.71884755,0.634,0.096,0,7,SPAG16
PSENEN,0,3.473502881,0.67,0.134,0,7,PSENEN
ZMYND10,0,5.104912928,0.561,0.026,0,7,ZMYND10
GSTA2,0,4.748234701,0.59,0.055,0,7,GSTA2
WDR78,0,5.09782629,0.557,0.026,0,7,WDR78
TEKT1,0,5.263822144,0.553,0.023,0,7,TEKT1
AGR22,0,1.206684007,0.809,0.28,0,7,AGR2
DNAH11,0,5.174843184,0.548,0.019,0,7,DNAH11
CD591,0,3.060801833,0.718,0.191,0,7,CD59
DNALI1,0,4.974686061,0.552,0.029,0,7,DNALI1
CRNDE3,0,3.291899291,0.651,0.13,0,7,CRNDE
PIGR2,0,1.010830017,0.724,0.203,0,7,PIGR
SPAG6,0,5.087724622,0.542,0.023,0,7,SPAG6
NUCB22,0,2.559698338,0.825,0.306,0,7,NUCB2
LDLRAD1,0,4.884227968,0.542,0.025,0,7,LDLRAD1
CLUAP1,0,3.634674559,0.61,0.096,0,7,CLUAP1
NME5,0,5.190976635,0.538,0.027,0,7,NME5
HYDIN,0,4.949682231,0.534,0.024,0,7,HYDIN
TCTEX1D4,0,5.288077995,0.526,0.023,0,7,TCTEX1D4
CDS1,0,4.374649762,0.553,0.05,0,7,CDS1
HSPH1,0,2.829222911,0.716,0.213,0,7,HSPH1
ANKUB1,0,5.440711516,0.521,0.02,0,7,ANKUB1
ALOX153,0,2.248309748,0.656,0.155,0,7,ALOX15
HMGN32,0,2.768498197,0.919,0.42,0,7,HMGN3
EFCAB10,0,5.455459633,0.516,0.021,0,7,EFCAB10
FAM81B,0,5.019423273,0.515,0.024,0,7,FAM81B
CYSTM1,0,3.173147817,0.664,0.175,0,7,CYSTM1
CES11,0,4.39694194,0.55,0.061,0,7,CES1
CFAP70,0,4.481628627,0.522,0.033,0,7,CFAP70
ARMC3,0,5.181982017,0.506,0.02,0,7,ARMC3
PPIL6,0,5.150461902,0.512,0.027,0,7,PPIL6
PERP3,0,1.707692359,0.785,0.301,0,7,PERP
TCTEX1D2,0,4.473484413,0.529,0.048,0,7,TCTEX1D2
RFX3,0,4.092679429,0.535,0.058,0,7,RFX3
MRPS31,0,3.260793928,0.612,0.14,0,7,MRPS31
AC013264.1,0,4.608904976,0.511,0.04,0,7,AC013264.1
DNAH7,0,5.042520182,0.493,0.022,0,7,DNAH7
CDHR3,0,4.72181601,0.495,0.025,0,7,CDHR3
PRDX51,0,3.098047606,0.95,0.48,0,7,PRDX5
IK,0,2.664463923,0.746,0.277,0,7,IK
ELF33,0,1.65262088,0.686,0.218,0,7,ELF3
CCDC78,0,4.607205253,0.493,0.027,0,7,CCDC78
IGFBP5,0,3.628806979,0.527,0.063,0,7,IGFBP5
CFAP44,0,4.579945738,0.502,0.039,0,7,CFAP44
ARHGAP181,0,2.59174233,0.685,0.223,0,7,ARHGAP18
CYB5A3,0,1.661264255,0.801,0.34,0,7,CYB5A
SPATA18,0,5.11769199,0.485,0.024,0,7,SPATA18
FAM174A,0,3.631077501,0.542,0.082,0,7,FAM174A
FAM216B,0,5.245872677,0.481,0.021,0,7,FAM216B
SPAG1,0,4.187785794,0.51,0.051,0,7,SPAG1
CCDC17,0,4.721620776,0.483,0.025,0,7,CCDC17
AKAP14,0,5.401567831,0.478,0.021,0,7,AKAP14
DNAH9,0,4.853352609,0.479,0.022,0,7,DNAH9
ALCAM3,0,2.154561873,0.7,0.245,0,7,ALCAM
ARL3,0,3.15049999,0.592,0.137,0,7,ARL3
CLU3,0,2.48455532,0.611,0.157,0,7,CLU
DYNLT1,0,2.605539905,0.865,0.412,0,7,DYNLT1
CFAP300,0,5.168524774,0.477,0.024,0,7,CFAP300
CCDC173,0,5.337333357,0.472,0.02,0,7,CCDC173
DNAAF4,0,4.908270125,0.48,0.028,0,7,DNAAF4
NUDC,0,2.721566278,0.699,0.249,0,7,NUDC
C6orf118,0,5.19394415,0.468,0.02,0,7,C6orf118
DRC3,0,4.537096731,0.475,0.029,0,7,DRC3
EZR,0,2.348463841,0.856,0.413,0,7,EZR
MUC161,0,3.130211919,0.529,0.087,0,7,MUC16
RSPH9,0,5.202068542,0.463,0.021,0,7,RSPH9
CFAP52,0,5.227479644,0.461,0.02,0,7,CFAP52
HSPB111,0,2.720160057,0.667,0.227,0,7,HSPB11
LRRC23,0,4.153950312,0.491,0.051,0,7,LRRC23
TMEM231,0,4.600467497,0.472,0.032,0,7,TMEM231
ATP5IF11,0,2.832576008,0.928,0.491,0,7,ATP5IF1
DSTN3,0,2.173477414,0.812,0.375,0,7,DSTN
HSBP12,0,2.398489317,0.781,0.346,0,7,HSBP1
PLAC83,0,1.825381666,0.713,0.278,0,7,PLAC8
WDR54,0,3.449038568,0.513,0.079,0,7,WDR54
SLC44A41,0,3.155296687,0.521,0.09,0,7,SLC44A4
NEK5,0,4.492395973,0.456,0.03,0,7,NEK5
ZBBX,0,5.217597789,0.445,0.019,0,7,ZBBX
EFCAB2,0,4.403712021,0.469,0.045,0,7,EFCAB2
CFAP299,0,5.696942784,0.437,0.016,0,7,CFAP299
GON7,0,3.420552796,0.513,0.098,0,7,GON7
TEX9,0,4.485075188,0.452,0.037,0,7,TEX9
METRN,0,3.105013743,0.524,0.109,0,7,METRN
DMKN1,0,3.520744928,0.488,0.074,0,7,DMKN
C22orf15,0,5.29545392,0.434,0.02,0,7,C22orf15
SRI,0,2.339969242,0.827,0.415,0,7,SRI
NWD1,0,4.330785338,0.448,0.038,0,7,NWD1
IQCG,0,3.722332901,0.466,0.057,0,7,IQCG
DNAH10,0,4.86531034,0.429,0.02,0,7,DNAH10
UFC1,0,2.491660806,0.787,0.379,0,7,UFC1
MAP3K19,0,5.370683356,0.425,0.017,0,7,MAP3K19
TCTEX1D1,0,5.437760341,0.425,0.019,0,7,TCTEX1D1
NEK10,0,5.007534526,0.427,0.021,0,7,NEK10
CFAP126,0,4.97935599,0.427,0.022,0,7,CFAP126
TRAF3IP1,0,3.743303669,0.469,0.064,0,7,TRAF3IP1
DNAJA4,0,3.576147315,0.476,0.071,0,7,DNAJA4
LRRC46,0,4.756993484,0.428,0.023,0,7,LRRC46
MOK,0,4.777417094,0.428,0.025,0,7,MOK
WDR60,0,3.385512013,0.483,0.081,0,7,WDR60
STK33,0,5.054759576,0.424,0.022,0,7,STK33
IFT43,0,3.692490451,0.474,0.072,0,7,IFT43
CFAP45,0,5.147135058,0.421,0.02,0,7,CFAP45
DNAH6,0,5.189166452,0.421,0.02,0,7,DNAH6
SLC7A2,0,4.789739883,0.427,0.026,0,7,SLC7A2
DYDC2,0,5.503828673,0.419,0.018,0,7,DYDC2
ODF2L2,0,1.915985503,0.68,0.28,0,7,ODF2L
CFAP157,0,4.631570449,0.421,0.021,0,7,CFAP157
FOXJ1,0,4.988793617,0.421,0.021,0,7,FOXJ1
CABCOCO1,0,5.44760274,0.414,0.017,0,7,CABCOCO1
CSPP1,0,3.55196603,0.469,0.073,0,7,CSPP1
MAPK10,0,4.452931915,0.43,0.035,0,7,MAPK10
DRC1,0,5.202428715,0.414,0.019,0,7,DRC1
DPY30,0,2.586478941,0.612,0.219,0,7,DPY30
TSTD12,0,2.127660457,0.751,0.359,0,7,TSTD1
MAP9,0,3.446254403,0.465,0.073,0,7,MAP9
H2AFJ2,0,2.216770386,0.632,0.24,0,7,H2AFJ
WDR38,0,4.83234869,0.415,0.023,0,7,WDR38
IFT22,0,3.894149064,0.446,0.057,0,7,IFT22
PROS1,0,4.881601797,0.414,0.025,0,7,PROS1
CFAP298,0,2.964041346,0.511,0.123,0,7,CFAP298
BBOF1,0,4.813614382,0.414,0.026,0,7,BBOF1
FANK1,0,4.51142397,0.417,0.03,0,7,FANK1
IFT81,0,4.341754684,0.426,0.039,0,7,IFT81
NQO1,0,4.193252637,0.424,0.039,0,7,NQO1
DPCD,0,4.381027328,0.423,0.039,0,7,DPCD
EPCAM3,0,2.212019758,0.529,0.148,0,7,EPCAM
AK9,0,3.695065845,0.434,0.053,0,7,AK9
CCDC30,0,4.048882981,0.42,0.042,0,7,CCDC30
CLDN31,0,3.845931178,0.423,0.046,0,7,CLDN3
ALDH3B1,0,3.945244395,0.43,0.053,0,7,ALDH3B1
DNPH11,0,2.646306045,0.547,0.171,0,7,DNPH1
LRP111,0,3.879116972,0.427,0.053,0,7,LRP11
LRRC10B,0,5.251329136,0.393,0.019,0,7,LRRC10B
LGALS32,0,1.535854449,0.942,0.569,0,7,LGALS3
SLC27A21,0,2.966017522,0.465,0.092,0,7,SLC27A2
SYNE12,0,2.336038321,0.546,0.174,0,7,SYNE1
DYNLL1,0,2.974105306,0.981,0.609,0,7,DYNLL1
PRR29,0,5.063805106,0.392,0.02,0,7,PRR29
DZIP3,0,2.971736818,0.464,0.093,0,7,DZIP3
MUC151,0,3.417074454,0.432,0.061,0,7,MUC15
NPHP1,0,4.689995827,0.394,0.025,0,7,NPHP1
SPATA17,0,5.306861259,0.386,0.018,0,7,SPATA17
PROM1,0,4.227526115,0.402,0.035,0,7,PROM1
TMEM67,0,4.054446991,0.409,0.042,0,7,TMEM67
IFT88,0,3.584362868,0.423,0.057,0,7,IFT88
STMND1,0,5.043983166,0.386,0.021,0,7,STMND1
ANKRD37,0,3.92637642,0.417,0.054,0,7,ANKRD37
B9D1,0,4.991626803,0.385,0.023,0,7,B9D1
FHAD1,0,4.64114775,0.39,0.029,0,7,FHAD1
DNAL1,0,4.073481953,0.4,0.042,0,7,DNAL1
AKAP9,0,1.949879634,0.789,0.432,0,7,AKAP9
RUVBL1,0,3.15921558,0.457,0.1,0,7,RUVBL1
CCDC153,0,4.896906094,0.381,0.024,0,7,CCDC153
TSGA10,0,3.547230724,0.416,0.06,0,7,TSGA10
CASC1,0,5.280319575,0.372,0.017,0,7,CASC1
STOML3,0,5.047798064,0.373,0.018,0,7,STOML3
ARMC4,0,5.287277567,0.372,0.018,0,7,ARMC4
TCTN1,0,4.23577494,0.392,0.039,0,7,TCTN1
DSP2,0,2.322483847,0.489,0.136,0,7,DSP
AC084033.3,0,3.415485369,0.421,0.068,0,7,AC084033.3
FAM227A,0,4.550147745,0.377,0.024,0,7,FAM227A
ENAH2,0,3.151688575,0.432,0.08,0,7,ENAH
VWA3B,0,4.49066852,0.375,0.024,0,7,VWA3B
TSPAN61,0,2.923063807,0.432,0.082,0,7,TSPAN6
COPRS,0,3.138125369,0.449,0.099,0,7,COPRS
TUSC3,0,3.506845042,0.406,0.057,0,7,TUSC3
PPP1R42,0,5.304373672,0.364,0.016,0,7,PPP1R42
ANXA23,0,1.568814548,0.891,0.543,0,7,ANXA2
TTLL10,0,4.741043753,0.37,0.023,0,7,TTLL10
PACRG,0,4.958504929,0.367,0.021,0,7,PACRG
TEX26,0,5.775189019,0.358,0.013,0,7,TEX26
OSCP1,0,4.80579303,0.367,0.023,0,7,OSCP1
NBEA1,0,3.134927875,0.422,0.078,0,7,NBEA
WDR66,0,4.385170553,0.372,0.029,0,7,WDR66
CFAP221,0,5.109362559,0.36,0.018,0,7,CFAP221
CCDC33,0,4.924726057,0.363,0.021,0,7,CCDC33
GSTP13,0,2.127146038,0.981,0.64,0,7,GSTP1
DHRS91,0,2.829615899,0.425,0.085,0,7,DHRS9
CTGF,0,4.228944654,0.368,0.028,0,7,CTGF
RGS22,0,5.608590963,0.353,0.014,0,7,RGS22
CFAP46,0,5.036154699,0.356,0.017,0,7,CFAP46
PRDX13,0,2.083880272,0.934,0.597,0,7,PRDX1
UBXN10,0,4.940606938,0.357,0.02,0,7,UBXN10
CC2D2A,0,4.312362522,0.368,0.032,0,7,CC2D2A
AFDN1,0,2.748610505,0.443,0.11,0,7,AFDN
IFT27,0,3.100232964,0.418,0.085,0,7,IFT27
SPATA6,0,3.934767867,0.377,0.046,0,7,SPATA6
CCDC74A,0,4.967187756,0.351,0.02,0,7,CCDC74A
MAATS1,0,5.040288191,0.349,0.018,0,7,MAATS1
TMEM232,0,5.126381873,0.35,0.019,0,7,TMEM232
LCA5,0,4.401694256,0.362,0.032,0,7,LCA5
SPACA9,0,4.579778041,0.357,0.027,0,7,SPACA9
